Tunnus;Nimi;Jakeluosoite;Postinumero;Postitoimipaikka;Huoneala (hum²);Bruttoala (brm²);Tilavuus (rm³);Kerrosala (m²);Rakennusvuosi;Peruskorjausvuosi;Kerrosten lkm;Kellarikerrosten lkm;Ullakkokerrosten lkm
622501;Pateniemen alakoulu, C-rakennus (ent. Herukan koulu);Risuniityntie 7;90800;OULU;2 768;2 873;11 504;2 365;1952;2008;3;1;0
622502;Pateniemen alakoulu, D-rakennus ;Risuniityntie 7;90800;OULU;692;781;2 435;480;1952;1986;2;1;0
622503;Pateniemen alakoulu, A-rakennus ;Risuniityntie 7;90800;OULU;932;1 053;4 009;1 059;1999;0;1;0;0
622504;Pateniemen alakoulu, B-rakennus ;Risuniityntie 7;90800;OULU;529;592;2 105;501;1938;2005;2;0;0
622506;Pateniemen alakoulu, F-rakennus, maakellari;Risuniityntie 7;90800;OULU;0;0;0;0;1938;0;0;0;0
622507;Pateniemen alakoulu, E-rakennus, ulkoiluvälinevarasto;Risuniityntie 7;90800;OULU;65;89;296;89;1986;2000;1;0;0
622508;Pateniemen alakoulu, liikuntarakennus;Risuniityntie 7;90800;OULU;984;1 107;5 510;1 107;2000;0;1;0;0
622601;Sanginsuun koulu;Sanginsuuntie 56;90660;OULU;566;594;2 232;594;1956;1996;1;0;0
622606;Sanginsuun koulu (ent. asuntola);Sanginsuuntie 56;90660;OULU;430;499;1 434;250;1956;1996;1;1;0
622701;Teuvo Pakkalan koulu;Teuvo Pakkalan katu 17;90130;OULU;3 527;4 172;16 741;3 284;1951;2006;3;1;0
622801;Tuiran koulu, ruokalarakennus;Koskitie 27;90500;OULU;485;543;1 933;510;1974;2006;1;0;0
622802;Tuiran koulu;Koskitie 27;90500;OULU;4 521;5 467;24 330;5 467;1930;2004;2;1;0
622901;Välivainion koulu;Luokotie 4;90530;OULU;1 419;1 664;6 240;1 664;1973;1997;1;0;0
623001;Sarasuon koulu;Sarasuontie 6;90410;OULU;1 114;1 211;4 530;1 211;1995;0;1;0;0
623101;Myllyojan koulu ;Karvarinaukio 15;90650;OULU;3 416;3 798;14 787;3 455;1979;2007;1;1;0
623201;Hönttämäen koulu ja päiväkoti;Ruotukuja 1;90630;OULU;3 075;3 380;12 758;3 303;1983;2010;1;0;0
623301;Lämsänjärven koulu, päiväkoti ja nuorisotila;Lämsänjärventie 15;90230;OULU;1 897;2 069;7 115;2 069;1983;2007;1;0;0
623401;Oulunsuun koulu;Kajaanintie 54;90230;OULU;4 403;4 652;20 934;4 352;1955;1984;5;1;0
623402;Kastellin koulu;Kajaanintie 54;90230;OULU;5 262;6 486;19 925;5 067;1964;1996;2;1;0
623501;Talvikankaan korttelikoulu, päiväkoti ja nuorisotilat;Tuiskutie 10;90630;OULU;2 183;2 418;10 080;2 115;2004;0;0;0;0
623503;Talvikankaan korttelikoulu, päiväkoti ja nuorisotilat, varasto ja leikkimökki;Tuiskutie 10;90630;OULU;45;62;210;62;2004;0;0;0;0
623601;Oulu International School / Oulun kansainvälinen koulu;Kasarmintie 4;90130;OULU;9 384;10 971;40 080;0;1961;2006;3;2;0
623602;Oulu International School / Oulun kansainvälinen koulu, pihavarasto;Kasarmintie 4;90130;OULU;69;78;200;0;2006;0;1;0;0
623603;Oulu International School / Oulun kansainvälinen koulu, jätevarasto;Kasarmintie 4;90130;OULU;35;40;100;0;2006;0;1;0;0
623701;Metsokankaan monitoimitalo;Metsänhoitajantie 5;90420;OULU;9 662;10 359;47 450;10 359;2008;0;2;0;0
624001;Myllytullin koulu;Isokatu 2;90100;OULU;5 257;6 790;24 120;4 667;1912;2007;3;1;0
624102;Rajakylän koulu ja nuorisotalo;Ruiskukkatie 4;90580;OULU;10 026;11 127;48 236;9 972;1977;2005;1;1;0
624601;Pohjankartano;Suvantokatu 1;90140;OULU;13 539;14 913;42 158;13 247;1967;1994;3;1;0
624701;Karjasillan koulu;Lintulammentie 7;90150;OULU;4 378;4 862;22 166;4 159;1958;1985;2;1;0
624901;Oulun Suomalaisen Yhteiskoulun lukio;Maunonkatu 1;90100;OULU;4 509;5 351;21 050;3 871;1908;2007;3;1;0
625001;Laanilan koulu;Hintantie 66;90650;OULU;6 762;7 590;27 710;7 590;1961;2002;3;1;0
625101;Merikosken koulu;Itäkangastie 9;90500;OULU;4 657;5 361;21 433;4 798;1955;2010;3;1;0
625102;Merikosken koulu, lisärakennus;Itäkangastie 9;90500;OULU;960;1 038;4 080;1 038;1999;0;0;0;0
625201;Pateniemen yläkoulu ja kirjasto;Sahantie 2;90800;OULU;4 643;5 196;22 000;4 710;1968;2009;2;1;1
625301;Terva-Toppilan koulu, Ankkuri (yläkoulu);Koskelantie 49;90520;OULU;5 404;5 838;24 874;5 500;1966;2002;1;1;0
625401;Oulun Lyseon Lukio;Kajaaninkatu 3;90100;OULU;3 436;4 011;18 522;3 437;1831;2007;2;1;0
625402;Oulun Lyseon lukio, liikuntatilat;Kajaaninkatu 3;90100;OULU;403;547;2 339;547;1907;0;2;0;0
626001;Oulun pääkirjasto;Kaarlenväylä 3;90100;OULU;6 730;7 539;36 200;7 060;1981;0;4;1;0
626101;Myllyojan kirjasto ja nuorisotalo;Karvarinaukio 11;90650;OULU;942;1 045;3 820;1 045;1980;2010;1;0;0
626501;Oulun kaupunginteatteri ;Kaarlenväylä 2;90100;OULU;12 069;14 723;70 300;13 527;1972;2004;4;1;0
626601;Kesäteatteri, Hupisaari;Hupisaari;90130;OULU;197;229;667;229;1987;0;2;0;0
626701;Pateniemen sahamuseo;Sahantie 21;90800;OULU;0;310;1 405;310;1989;0;0;0;0
627101;Musiikkikeskus;Leevi Madetojan katu 1-3;90140;OULU;5 850;6 506;40 698;6 482;1983;0;4;1;0
627201;OuluZone moottoriurheilukeskus, huoltorakennus;Kuusamontie 3250;91310;ARKALA;83;100;330;100;2014;0;0;0;0
627202;OuluZone moottoriurheilukeskus, tuomaritorni;Kuusamontie 3250;91310;ARKALA;59;71;204;71;2014;0;3;0;0
627501;Pohjois-Pohjanmaan museo;Ainolanpolku 1;90130;OULU;2 349;2 799;10 513;2 799;1931;1985;3;1;0
627599;Pohjois-Pohjanmaan museo, varasto;Ainolanpolku 1;90130;OULU;12;15;43;15;1991;0;1;0;0
627901;Kaijonharjun monitoimikeskus;Kalevalantie  5;90570;OULU;3 256;3 748;15 006;3 744;1987;2010;2;0;0
627902;Kaijonharjun monitoimikeskus, väestönsuoja;Kalevalantie  5;90570;OULU;104;134;395;134;1987;0;0;1;0
628001;Ritaharjun monitoimitalo;Ritakierros 2;90540;OULU;10 714;11 571;51 000;10 679;2010;0;2;0;0
628301;Sanginjoen nuorisotilat, asuntolarakennus;Kontiokoskentie 14;90650;OULU;82;98;337;98;1920;1982;1;0;0
628302;Sanginjoen nuorisotilat, päärakennus;Kontiokoskentie 14;90650;OULU;197;233;1 070;233;1920;1982;1;0;0
628303;Sanginjoen nuorisotilat, asuin- ja  saunarakennus;Kontiokoskentie 13;90650;OULU;197;241;720;241;1920;1982;2;1;0
628304;Sanginjoen nuorisotilat, talousrakennus;Kontiokoskentie 13;90650;OULU;113;127;572;127;1920;1982;1;0;0
628401;Toppilan liikuntatalo;Kauppaseurantie;90520;OULU;793;1 029;4 189;912;1937;2003;2;1;0
628701;Koppanan leirikeskus, päärakennus;Nenännokka 83;90470;VARJAKKA;125;281;1 270;281;1958;2006;1;0;0
628702;Koppanan leirikeskus, sauna;Nenännokka 83;90470;VARJAKKA;29;35;86;35;1961;2006;1;0;0
628703;Koppanan leirikeskus, keittokatos;Nenännokka 83;90470;VARJAKKA;29;33;90;33;1984;2006;1;0;0
628704;Koppanan leirikeskus, kellari;Nenännokka 83;90470;VARJAKKA;4;5;11;5;1961;0;0;1;0
628705;Koppanan leirikeskus, wc;Nenännokka 83;90470;VARJAKKA;4;6;19;6;2006;0;0;0;0
628706;Koppana, Rahjan mökki;Nenännokka 83;90470;VARJAKKA;32;35;101;35;1961;0;1;0;0
628707;Koppanan leirikeskus, venevaja;Nenännokka 83;90470;VARJAKKA;58;64;135;64;1961;0;1;0;0
628901;Nuorten työpaja H4;Tykistökatu 13-15;90130;OULU;1 367;1 549;5 981;0;1959;2013;0;0;0
628902;Nuorten työpaja H5;Tykistökatu 13-15;90130;OULU;2 280;2 582;10 168;0;1956;2013;0;0;0
628903;Nuorten työpaja, ulko-/jätevarasto;Tykistökatu 13-15;90130;OULU;0;0;0;0;2013;0;0;0;0
629001;Oulun jäähalli;Teuvo Pakkalan katu 11;90130;OULU;12 656;13 113;100 000;10 222;1975;2004;3;0;0
629002;Oulun jäähalli, huoltorakennus, kiinni jäähallissa;Teuvo Pakkalan katu 11;90130;OULU;583;614;3 099;614;1997;0;0;0;0
629101;Oulun uimahalli;Pikkukankaantie 3;90130;OULU;11 082;12 376;63 860;12 376;1974;2001;2;1;0
629201;Raatin liikuntakeskus, uimahalli ja katsomorakennus;Raatintie 2;90100;OULU;7 311;8 956;38 815;6 598;1959;2010;3;1;1
629202;Raatin liikuntakeskus, stadion;Raatintie 2;90100;OULU;85;98;318;0;2011;0;0;0;0
629291;Raatin liikuntakeskus, huoltorakennus;Raatintie 2;90100;OULU;86;97;366;0;2011;0;0;0;0
629301;Urheilutalo;Rantakatu 15;90100;OULU;3 952;4 087;22 871;3 746;1962;2005;2;1;0
629401;Honkapirtti;Pateniementie 86;90800;OULU;1 336;1 484;7 096;1 291;1951;1994;2;1;0
629801;Castrenin urheilupuisto;Paulaharjuntie 43 ;90530;OULU;357;412;1 320;412;1985;2006;1;0;0
629890;Castrenin urheilupuisto, kylmävarasto;Paulaharjuntie 43 ;90530;OULU;72;79;235;79;1985;0;1;0;0
629991;Pakkalan kenttä, tekojäärakenteet;Urheilukatu;90130;OULU;1;1;1;1;1997;0;1;0;0
630102;Ainolan puutarha, maakellari;Kiikkusaari;90100;OULU;47;80;200;80;1963;0;0;1;0
630103;Ainolan puutarha, kokoelmakasvihuone;Kiikkusaari 0;90100;OULU;300;324;0;1 021;1968;0;0;0;0
630104;Ainolan puutarha, tuotantokasvihuone;Kiikkusaari;90100;OULU;262;322;966;322;1968;1985;1;0;0
630130;Hupisaarten kahvila;Kiikkusaari;90100;OULU;244;219;1 215;219;1963;1985;1;0;0
630212;Kaupungin polttoainevarasto ja saha, takavarasto;Konetie 15;90650;OULU;0;192;770;192;1989;0;1;0;0
630455;Kaupunginvarikko, varasto;Koskitie 2;90500;OULU;1 436;1 504;10 006;1 505;1977;0;1;0;0
630456;Kaupunginvarikko, auto- ja konehalli;Koskitie 2;90500;OULU;1 424;1 505;10 236;1 458;1978;0;1;0;0
630457;Kaupunginvarikko, korjaamo ja huoltorakennus, lämmin;Koskitie 2;90500;OULU;7 457;8 043;46 752;6 650;1960;1979;2;1;0
630459;Kaupunginvarikko, kylmävarasto;Koskitie 2;90500;OULU;665;714;2 714;700;1960;0;1;0;0
630460;Kaupunginvarikko, kylmävarasto;Koskitie 2;90500;OULU;669;708;2 691;700;1960;0;1;0;0
630801;Poratien tukikohta;Poratie 10;90150;OULU;3 050;3 381;15 222;3 153;1971;0;2;1;0
630802;Poratie 8, hiekkahalli;Poratie 8;90150;OULU;762;806;4 513;778;1992;0;0;0;0
630902;Oulun tekninen liikelaitos;Sorvitie 5;90150;OULU;3 134;3 486;13 302;3 621;1971;1995;2;0;0
630903;Oulun tekninen liikelaitos, pieni varasto;Sorvitie 5;90150;OULU;147;152;532;152;1984;0;1;0;0
630904;Oulun tekninen liikelaitos, iso varasto;Sorvitie 5;90150;OULU;726;744;3 980;744;1992;0;1;0;0
631001;Tuiran kuntoutuskoti (ent. Uitto);Koskitie 4;90500;OULU;649;803;2 350;592;1938;1984;2;1;0
631201;Talvikkipuiston huoltorakennus;Tervakukkatie 54;90580;OULU;376;412;1 525;412;2003;0;1;0;0
631301;Ouluhalli;Ylioppilaantie 4;90130;OULU;13 056;12 073;161 640;12 073;1986;2007;2;0;0
632001;Tähtitorni;Linnansaari;90100;OULU;138;177;599;177;1875;2011;3;1;0
632103;Kauppatori, makasiini nro 18;Kauppatori;90100;OULU;114;87;365;87;1700;0;2;0;0
632103;Kauppatori, makasiini nro 1;Kauppatori;90100;OULU;283;190;681;190;1700;0;2;0;0
632104;Kauppatori, makasiini nro 4;Kauppatori;90100;OULU;94;100;284;100;1700;0;2;0;0
632113;Kauppatori, makasiini nro 23;Kauppatori;90100;OULU;82;99;355;99;1700;0;2;0;0
632114;Kauppatori, makasiini nro 24;Kauppatori;90100;OULU;90;93;333;93;1700;0;2;0;0
632117;Kauppatori, makasiini nro 12;Kauppatori;90100;OULU;108;105;375;105;1700;0;2;0;0
632117;Kauppatori, makasiini nro 17;Kauppatori;90100;OULU;48;57;284;57;1700;0;0;0;0
632118;Kauppatori, makasiini nro 16;Kauppatori;90100;OULU;46;60;168;60;1850;0;2;0;0
632119;Kauppatori, makasiini nro 19;Kauppatori;90100;OULU;86;68;173;68;1700;0;2;0;0
632120;Kauppatori, makasiini nro 5;Kauppatori;90100;OULU;73;78;201;78;1700;0;2;0;0
632120;Kauppatori, makasiini nro 20;Kauppatori;90100;OULU;115;95;340;95;1700;0;2;0;0
632121;Kauppatori, makasiini nro 10;Kauppatori;90100;OULU;40;50;129;50;1700;0;2;0;0
632121;Kauppatori, makasiini nro 7;Kauppatori;90100;OULU;81;91;255;91;1850;0;2;0;0
632122;Kauppatori, makasiini nro 8;Kauppatori;90100;OULU;43;50;129;50;1700;0;2;0;0
632123;Kauppatori, makasiini nro 11;Kauppatori;90100;OULU;59;68;190;68;1850;0;2;0;0
632124;Kauppatori, makasiini nro 15;Kauppatori;90100;OULU;128;102;365;102;1700;0;2;0;0
632171;Kauppatori, makasiini nro 14;Kauppatori;90100;OULU;615;540;1 442;540;1700;0;3;0;0
632401;Kauppatori, torialue;Kauppatori;90100;OULU;0;1;1;1;2000;0;0;0;0
632501;Kauppahalli ;Saaristonkatu 1 C;90100;OULU;1 050;1 272;7 311;1 272;1920;1995;2;0;0
632701;Kauppatorin huoltoaitta nro 6;Kauppatori;90100;OULU;121;161;367;161;1998;0;0;0;0
632902;Tukkisaari, venevaja ;Tukkisaarenkuja;90500;OULU;0;55;150;55;1920;0;1;0;0
633101;Kulttuuritalo Valve;Ojakatu 4;90100;OULU;4 936;5 519;23 510;4 187;1860;2004;3;1;0
633604;Ruskon aluetukikohta, sosiaalitilat ja toimisto;Kiilletie 7;90620;OULU;828;965;3 274;680;1988;0;1;1;0
633606;Ruskon aluetukikohta, konehalli, lämmin;Kiilletie 7;90620;OULU;1 071;1 125;6 898;1 125;1988;0;2;0;0
633608;Ruskon aluetukikohta, varasto kylmä;Kiilletie 7;90620;OULU;615;650;3 730;650;1994;0;1;0;0
633699;Ruskon aluetukikohta, kaarihalli, kylmä;Kiilletie 7;90620;OULU;550;589;3 583;589;1988;0;1;0;0
633701;Kaakkurin monitoimitalo;Pesätie 13;90420;OULU;1 396;1 542;8 024;1 424;2008;0;2;0;0
633702;Kaakkurin monitoimitalo, varasto;Pesätie 13;90420;OULU;14;16;45;17;2008;0;1;0;0
634601;Lasten Liikennepuisto;Rantakatu 19;90100;OULU;18;72;190;72;1970;0;1;0;0
634801;Taidemuseo;Kasarmintie 7;90130;OULU;3 431;4 030;19 104;3 686;1880;2008;3;1;0
635201;Oulun hätäkeskus;Pikkukankaantie 2;90130;OULU;1 634;1 869;9 700;1 636;2006;0;3;0;0
635401;Toimisto- ja varastorakennus, Sälpätie 1;Sälpätie 1;90620;OULU;113;131;525;131;1950;0;1;0;0
635501;Pohjois-Pohjanmaan museon varasto;Konetie 33;90620;OULU;2 256;2 472;13 090;2 472;1986;0;2;0;0
636003;Bänditila, Meri-Toppila;Pitkänmöljäntie 2;90510;OULU;0;107;360;107;1945;0;1;0;0
636701;Aleksinkulma;Hallituskatu 6;90100;OULU;1 625;1 818;6 433;1 422;1880;1998;2;1;0
636801;Tuiran uimala;Koskitie 58;90500;OULU;201;234;703;234;1984;0;1;0;0
636901;Työmaatukikohta, Poratie 11;Poratie 11;90150;OULU;883;923;5 780;923;1980;0;1;0;0
638401;Meriheinän päiväkoti;Koskitie 2;90500;OULU;262;301;1 053;289;1981;1996;1;0;0
640301;Tietomaa, hallintokeskus;Nahkatehtaankatu 6;90130;OULU;2 863;3 560;13 534;3 560;1923;1998;4;0;0
640302;Tietomaa, tiedeteatteri;Makasiinikatu 5;90130;OULU;763;939;5 306;659;1988;0;2;1;0
640401;Värtön liikuntahalli;Kurkelantie 7;90230;OULU;2 586;2 775;15 422;2 750;1970;2002;1;0;0
644801;Matilan talo;Pikisaarentie 6;90100;OULU;91;107;482;107;1740;1986;1;0;0
645201;Makasiini, Sokeri-Jussi  ;Pikisaarentie 2;90100;OULU;242;242;780;242;1892;0;2;0;0
645701;Vanha villatehdas;Pikisaarentie 17;90100;OULU;1 876;2 145;8 593;2 145;1977;1998;4;0;0
645702;Vanha villatehdas, taiteilijoiden työtilat, rak. 2;Pikisaarentie 17;90100;OULU;0;222;1 704;222;1898;0;1;0;0
646001;Salonpään päiväkoti;Keskipiirintie 27;90470;VARJAKKA;288;337;1 155;335;1991;2004;1;0;0
646101;Pitkäkankaan päiväkoti;Tuohikuja 3;90460;OULUNSALO;1 288;1 465;4 827;1 339;2001;0;1;0;0
646201;Päiväkoti Saloila;Tolvasenkuja 1;90460;OULUNSALO;852;988;3 310;840;1986;0;1;0;0
646301;Päiväkoti Kuovit;Mäntypellonpolku 16;90460;OULUNSALO;318;379;1 287;371;1975;0;0;0;0
646401;Salonpään koulu;Keskipiirintie 9;90470;VARJAKKA;2 030;2 284;12 420;2 225;1969;2007;0;0;0
646402;Salonpään puukoulu;Keskipiirintie 9;90470;VARJAKKA;384;448;1 820;522;1918;1986;0;0;0
646501;Pitkäkankaan koulu;Opintie 6;90460;OULUNSALO;8 274;9 347;37 260;8 702;1983;1998;0;0;0
646601;Oulunsalon kirkonkylän koulu;Koulutie 4;90460;OULUNSALO;5 084;5 714;25 254;5 426;1977;2003;0;0;0
646602;Oulunsalon kirkonkylän puukoulu;Koulutie 4;90460;OULUNSALO;219;253;896;256;1946;2006;0;0;0
646603;Oulunsalon vanha kunnantalo;Koulutie 4;90460;OULUNSALO;175;205;630;210;1946;0;0;0;0
646701;Oulunsalo-talo;Mäntypellonpolku 10;90460;OULUNSALO;4 198;4 735;22 900;4 550;1993;0;0;0;0
646801;Oulunsalon terveysasema;Kauppiaantie 10;90460;OULUNSALO;1 702;1 986;7 819;1 965;1980;1994;0;0;0
646901;Oulunsalon paloasema;Palokuja 1;90460;OULUNSALO;722;816;3 437;824;2002;0;0;0;0
647001;Oulunsalon kunnantalo;Kauppiaantie 5;90460;OULUNSALO;2 446;2 827;10 250;3 020;1982;0;0;0;0
647101;Oulunsalon varikko, varikkohalli;Marjatie 66;90460;OULUNSALO;354;394;1 940;363;1981;0;0;0;0
647102;Oulunsalon varikko, konesuoja;Marjatie 66;90460;OULUNSALO;311;318;1 494;318;1993;0;0;0;0
647103;Oulunsalon varikko, ulkovarasto;Marjatie 66;90460;OULUNSALO;128;139;564;196;1981;0;0;0;0
647104;Oulunsalon varikko, varastohalli;Marjatie 66;90460;OULUNSALO;224;243;1 237;229;1999;0;0;0;0
647105;"Oulunsalon varikko; Piha";Marjatie 66;90460;OULUNSALO;0;0;0;0;0;0;0;0;0
647201;Oulunsalon urheilukenttä, huoltorakennus;Koulutie 2;90460;OULUNSALO;136;154;226;82;1981;0;0;0;0
647202;Oulunsalon urheilukenttä, kotipesä;Koulutie 2;90460;OULUNSALO;41;49;121;46;1990;0;0;0;0
647301;Kuovinpesän ryhmis, Kauppiaantie 24;Kauppiaantie 24;90460;OULUNSALO;234;275;688;255;1972;0;0;0;0
647602;Varjakka, Kapteenintalo;Varjakka;90470;VARJAKKA;0;269;0;0;0;0;0;0;0
647603;Varjakka, Hulina;Varjakka;90470;VARJAKKA;0;134;0;0;0;0;0;0;0
647604;Varjakka, Lotina;Franzeninkuja 1;90470;VARJAKKA;0;166;0;0;0;0;0;0;0
647605;Varjakka, paviljonki;Varjakka;90470;VARJAKKA;0;216;0;0;0;0;0;0;0
647606;Varjakka, sauna (mantere);Varjakka;90470;VARJAKKA;0;19;0;0;0;0;0;0;0
647607;Varjakka, talousrakennus (mantere);Varjakka;90470;VARJAKKA;0;762;0;0;0;0;0;0;0
647620;Varjakka, 1. rakennus (saari);Varjakka;90470;VARJAKKA;0;15;0;0;0;0;0;0;0
647621;Varjakka, konttori (saari) S-1;Varjakka;90470;VARJAKKA;0;359;0;0;0;0;0;0;0
647622;Varjakka, paloasema (saari);Varjakka;90470;VARJAKKA;0;97;0;0;0;0;0;0;0
647623;Varjakka, asuinrakennus S-13 (saari) ;Varjakka;90470;VARJAKKA;0;223;0;0;0;0;0;0;0
647624;Varjakka, sauna (saari);Varjakka;90470;VARJAKKA;0;30;0;0;0;0;0;0;0
647625;Varjakka, paritalo S-5 (saari);Varjakka;90470;VARJAKKA;0;133;0;0;0;0;0;0;0
647626;Varjakka, paritalo S-6 (saari);Varjakka;90470;VARJAKKA;0;133;0;0;0;0;0;0;0
647627;Varjakka, paritalo S-7 (saari);Varjakka;90470;VARJAKKA;0;143;0;0;0;0;0;0;0
647628;Varjakka, paritalo S-8 (saari);Varjakka;90470;VARJAKKA;0;133;0;0;0;0;0;0;0
647629;Varjakka, paritalo S-9 (saari);Varjakka;90470;VARJAKKA;0;133;0;0;0;0;0;0;0
647630;Varjakka, talli (saari) S-10;Varjakka;90470;VARJAKKA;0;163;0;0;0;0;0;0;0
647631;Varjakka, sauna/liiteri (saari);Varjakka;90470;VARJAKKA;0;94;0;0;0;0;0;0;0
647651;Varjakka, asuinrakennus (Pyydyskari);Varjakka;90470;VARJAKKA;0;115;0;0;0;0;0;0;0
647652;Varjakka, sauna (Pyydyskari);Varjakka;90470;VARJAKKA;0;14;0;0;0;0;0;0;0
647653;Varjakka, piharakennus (Pyydyskari);Varjakka;90470;VARJAKKA;0;100;0;0;0;0;0;0;0
647701;Oulunsalon liikuntakeskus, palloiluhalli ja jäähalli;Tuohikuja 6;90460;OULUNSALO;5 576;6 007;37 822;6 007;1991;0;0;0;0
647801;Salonkartano;Koulutie 7;90460;OULUNSALO;1 756;2 050;6 565;1 986;1996;2002;2;0;0
647901;Oulunsalon kotiseutumuseo;Jääsköntie 5;90460;OULUNSALO;103;116;392;116;1870;0;0;0;0
648101;Oulunsalon kirjasto, kuvisluokka ja yhteispalvelupiste (Kapteeni) ;Karhuojantie 2;90460;OULUNSALO;1 697;0;7 235;0;2005;0;0;0;0
648201;Niemenrantatalo;Nuottamiehentie 1;90460;OULUNSALO;4 832;5 339;30 650;5 339;2012;0;2;0;0
648202;Niemenrantatalo, ulkovarasto/leikkimökki;Nuottamiehentie 1;90460;OULUNSALO;29;0;0;0;2012;0;1;0;0
653801;Koivuranta, päärakennus;Pukseritie 7;90510;OULU;131;154;456;154;1916;2003;0;0;0
653802;Koivuranta, sauna;Pukseritie 7;90510;OULU;68;83;236;0;2004;0;0;0;0
655102;Huoltorakennus, Virpiniemi (ylämaja);Virpiniementie 29;90810;KIVINIEMI;379;436;1 656;440;1981;0;0;0;0
655201;Simppulankartano;Simppulantie 15;90830;HAUKIPUDAS;1 794;2 059;7 630;1 907;1993;0;0;0;0
655301;Haukiputaan terveysasema ja vuodeosasto;Simppulantie 15;90830;HAUKIPUDAS;4 933;5 640;19 575;5 474;1984;0;0;0;0
655401;Päiväkoti Jatulin Tarha;Jokelantie 18;90830;HAUKIPUDAS;2 045;2 356;9 894;2 264;2005;0;0;0;0
655501;Koivulan päiväkoti;Hietalanmäentie 25;90820;KELLO;332;383;905;275;1930;1976;0;0;0
655601;Martinniemen päiväkoti;Martinniementie 319;90850;MARTINNIEMI;3 335;3 739;14 288;2 363;2006;0;0;0;0
655701;Simppulankartanon avoin päiväkoti;Simpuntie 11;90830;HAUKIPUDAS;528;622;1 840;475;1880;1977;0;0;0
655801;Tuomikoti ;Harjuntie 14 B;90830;HAUKIPUDAS;198;244;670;231;1992;0;0;0;0
655802;Koivukoti;Harjuntie 14 C;90830;HAUKIPUDAS;282;343;865;299;1992;0;0;0;0
655803;Leppäkoti;Harjuntie 14 D;90830;HAUKIPUDAS;194;230;775;214;1992;0;0;0;0
655901;Santaholman koulu;Santaholmantie 86;90830;HAUKIPUDAS;534;612;2 040;599;1999;2009;0;0;0
656001;Aseman päiväkoti;Torvelantie 23;90830;HAUKIPUDAS;515;595;1 980;519;2002;0;0;0;0
656201;Haukiputaan paloasema;Heitontie 1;90830;HAUKIPUDAS;1 241;1 714;7 320;1 600;2010;0;0;0;0
656301;Aseman koulu ja kirjasto, A-rakennus;Asemakylänraitti 1;90840;HAUKIPUDAS;941;1 081;3 438;1 123;1957;2006;0;0;0
656302;Aseman koulu, B-rakennus;Asemakylänraitti 1;90840;HAUKIPUDAS;911;1 018;3 210;969;1957;2006;0;0;0
656303;Aseman koulu, C-rakennus;Asemakylänraitti 1;90840;HAUKIPUDAS;1 051;1 204;4 724;1 087;1957;2006;0;0;0
656304;Aseman koulu, D-rakennus;Asemakylänraitti 1;90840;HAUKIPUDAS;145;169;659;160;1936;0;0;0;0
656401;Martinniemen koulu ja kirjasto;Jokisuuntie 1;90850;MARTINNIEMI;3 018;3 415;14 773;3 298;1956;2005;0;0;0
656501;Toimintakeskus Jatuli ja Vesi-Jatuli;Jokelantie 20;90830;HAUKIPUDAS;8 635;9 586;48 100;9 112;1979;0;0;0;0
656601;Pihlajakoti;Harjuntie 14 E;90830;HAUKIPUDAS;713;842;2 453;691;1999;0;0;0;0
656801;Meriniemi;Hedmanssonintie 10;90810;KIVINIEMI;172;202;513;205;1940;2002;0;0;0
657001;Hietalanmäen koulu;Hietalanmäentie 27;90820;KELLO;289;337;1 426;348;1906;1991;0;0;0
657101;Jokikylän koulu, A-rakennus;Jokikyläntie 41;90840;HAUKIPUDAS;326;383;1 757;277;1938;1998;0;0;0
657102;Jokikylän koulu, B-rakennus, esikoulu;Jokikyläntie 41;90840;HAUKIPUDAS;136;162;629;165;1938;1998;0;0;0
657201;Keiskan koulu;Keiskantie 25;90830;HAUKIPUDAS;846;977;2 389;709;1929;1992;0;0;0
657301;Kellon koulu ja päiväkoti;Kylätie 6;90820;KELLO;8 432;9 563;40 270;9 474;1959;1996;0;0;0
657302;Kellon koulu ja päiväkoti, pihavaja;Kylätie 6;90820;KELLO;22;0;0;0;2005;0;0;0;0
657305;Kellon koulu ja päiväkoti, leikkimökki ja ulkoiluvälinevarasto;Kylätie 6;90820;KELLO;14;16;57;0;2005;0;0;0;0
657401;Kiviniemen koulu ja päiväkoti;Uuvenperäntie 4;90810;KIVINIEMI;5 054;5 699;24 931;5 235;1950;2012;0;0;0
657501;Ent. Oravan koulu;Simunantie 15;90820;KELLO;689;804;3 485;935;1887;2001;0;0;0
657601;Parkumäen koulu 1;Kalliomäentie 91;90860;HALOSENNIEMI;351;410;1 584;347;1923;1978;0;0;0
657602;Parkumäen koulu 2;Kalliomäentie 91;90860;HALOSENNIEMI;213;247;1 307;243;1929;1979;0;0;0
657701;Takkurannan vanha koulu;Takkurannantie 10;90820;KELLO;305;352;1 372;341;1928;1980;0;0;0
657702;Takkurannan uusi koulu;Takkurannantie 10;90820;KELLO;978;1 119;5 279;1 040;1956;1999;0;0;0
657801;Länsituulen koulu;Länsikuja 2;90830;HAUKIPUDAS;7 147;8 020;37 020;7 830;2009;0;0;0;0
657901;Annalankankaan varikko, hiekkavarasto G;Annalankankaantie 18 B;90830;HAUKIPUDAS;0;0;0;0;1984;0;0;0;0
657902;Annalankankaan varikko, H-halli;Annalankankaantie 18 B;90830;HAUKIPUDAS;390;399;1 917;0;1989;0;0;0;0
