Tunnus;Nimi;Jakeluosoite;Postinumero;Postitoimipaikka;Huoneala (hum²);Bruttoala (brm²);Tilavuus (rm³);Kerrosala (m²);Rakennusvuosi;Peruskorjausvuosi;Kerrosten lkm;Kellarikerrosten lkm;Ullakkokerrosten lkm
608317;Lassin päiväkoti;Koskitie 23;90500;OULU;691;620;2 664;595;1898;2000;0;0;0
608318;Lassin päiväkoti, leikkimökki;Koskitie 23;90500;OULU;5;0;0;0;0;0;0;0;0
608319;Lassin päiväkoti, kiinteistövarasto/lastenvaunuvarasto;Koskitie 23;90500;OULU;12;0;0;0;0;0;0;0;0
608320;Lassin päiväkoti, jätekatos;Koskitie 23;90500;OULU;13;0;0;0;0;0;0;0;0
608401;Värtön päiväkoti;Kurkelantie 9;90230;OULU;1 603;1 789;7 703;1 656;2003;0;1;0;1
608402;Värtön päiväkoti, kellari;Kurkelantie 9;90230;OULU;0;0;0;0;0;0;0;0;0
608501;Korvensuoran päiväkoti;Koivikkotie 6;90630;OULU;808;939;3 200;939;1991;0;1;0;0
608502;Korvensuoran päiväkoti, varasto;Koivikkotie 6;90630;OULU;63;74;185;74;1991;0;1;0;0
608601;Sarasuon päiväkoti;Sarasuontie 5;90410;OULU;1 049;1 229;4 076;1 229;1991;2009;1;0;0
608602;Sarasuon päiväkoti, varasto;Sarasuontie 5;90410;OULU;25;29;69;29;1991;0;1;0;0
608702;Ainolan päiväkoti;Koulukatu 1;90100;OULU;1 033;1 053;3 350;1 053;1990;0;2;0;0
608703;Ainolan päiväkoti, varasto;Koulukatu 1;90100;OULU;16;23;52;23;1990;0;1;0;0
608704;Ainolan päiväkoti, jätevarasto;Koulukatu 1;90100;OULU;9;11;24;11;1990;0;1;0;0
608801;Taskilan päiväkoti;Kummelitie 16;90520;OULU;415;471;1 600;471;1990;0;1;0;0
608802;Taskilan päiväkoti, varasto;Kummelitie 16;90520;OULU;15;17;40;17;1990;0;1;0;0
608901;Ahvenojan päiväkoti;Ratsastajantie 3;90540;OULU;617;726;2 600;726;1990;0;1;0;0
608902;Ahvenojan päiväkoti, varasto;Ratsastajantie 3;90540;OULU;8;9;23;9;1990;0;1;0;0
